source,name from website,Group_Name_Eng,Group_Name_TH,option,weight (kg),selling price (THB),price per kg (THB),link
supreme seafoods,หมึกกล้วยไซส์ใหญ่,Squid,หมึก,,2,840,,https://supremeseafoods.net/products/76505768
supreme seafoods,ปลากระบอกไข่,Mullet,ปลากระบอก,,0.5,480,,https://supremeseafoods.net/products/74987767
supreme seafoods,ปลาหิมะพอร์ชั่น,Snow Fish,ปลาหิมะ,,0.1,290,,https://supremeseafoods.net/products/74962894
supreme seafoods,กั้งไข่จัมโบ้,Mantish Shrimp,กั้ง,แพ็คผ่าหลัง,,380,,https://supremeseafoods.net/products/74851124
supreme seafoods,กั้งจัมโบ้,Mantish Shrimp,กั้ง,3-5 ตัวโล,1,890,,https://supremeseafoods.net/products/74766585
supreme seafoods,ปลาทู,Short-bodied Mackerel,ปลาทู,,0.5,99,,https://supremeseafoods.net/products/74106689
supreme seafoods,หมึกกล้วย,Squid,หมึก,,0.5,290,,https://supremeseafoods.net/products/73351075
supreme seafoods,หมึกกระตอย,Squid,หมึก,,0.5,290,,https://supremeseafoods.net/products/73098861
supreme seafoods,หอยเชลล์,Scallops,หอยเชลล์,,0.4,380,,https://supremeseafoods.net/products/72650721
supreme seafoods,หอยแครงจัมโบ้,Blood Cockles,หอยแครง,10-20 ตัวโล,1,380,,https://supremeseafoods.net/products/72593395
supreme seafoods,หอยแมลงภู่,Mussels,หอยแมลงภู่,,0.5,155,,https://supremeseafoods.net/products/72489285
supreme seafoods,หอยลาย,Baby Clams,หอยลาย,Giant,,280,,https://supremeseafoods.net/products/72478627
supreme seafoods,เอ็นหอยจอบ,Scallop Mantle,หอยจอบ,,0.3,290,,https://supremeseafoods.net/products/72453532
supreme seafoods,หอยหวาน,Spotted Babylon,หอยหวาน,พรีเมี่ยม,,1290,,https://supremeseafoods.net/products/72355676
supreme seafoods,ปูม้า,Blue Swimmer Crab,ปูม้า,3-6 ตัวโล,1,690,,https://supremeseafoods.net/products/71951487
supreme seafoods,กุ้งแม่น้ำ,Prawn,กุ้งแม่น้ำ,4-5 ตัวโล,1,1090,,https://supremeseafoods.net/products/71899241
supreme seafoods,หอยน้ำผึ้ง,Honey Snail,หอยน้ำผึ้ง,,,220,,https://supremeseafoods.net/products/71871027
supreme seafoods,กุ้งแม่น้ำ,Prawn,กุ้งแม่น้ำ,8-10 ตัวโล,1,690,,https://supremeseafoods.net/products/71843732
supreme seafoods,กุ้งแชบ๊วย,Banana Prawn,กุ้งแชบ๊วย,,0.5,345,,https://supremeseafoods.net/products/71813651
supreme seafoods,สเต็ก แซลม่อน ,Salmon,แซลมอน,,0.18,160,,https://supremeseafoods.net/products/71576538
supreme seafoods,กุ้งแม่น้ำ,Prawn,กุ้งแม่น้ำ,12-16 ตัวโล,1,590,,https://supremeseafoods.net/products/71500633
supreme seafoods,หอยชักตีน,Wing Shells,หอยชักตีน,,,320,,https://supremeseafoods.net/products/71232396
supreme seafoods,เป๋าฮื้อธรรมชาติ,Abalone,เป๋าฮื้อ,,0.5,990,,https://supremeseafoods.net/products/71159037
supreme seafoods,หมึกหอมสด,Squid,หมึก,1-2 ตัวโล,1,580,,https://supremeseafoods.net/products/71154234
supreme seafoods,กุ้งลายเสือ,Tiger Prawn,กุ้งลายเสือ,,0.5,690,,https://supremeseafoods.net/products/71132953
supreme seafoods,เนื้อก้ามปูจัมโบ้,Crab Meat,เนื้อปูแกะ,,0.5,690,,https://supremeseafoods.net/products/69900001
supreme seafoods,ไข่หมึกกล้วย,Squid,หมึก,,0.5,280,,https://supremeseafoods.net/products/70330161
supreme seafoods,กุ้งแม่น้ำ,Prawn,กุ้งแม่น้ำ,2-3 ตัวโล,1,1390,,https://supremeseafoods.net/products/69609562
supreme seafoods,หอยงวงช้าง,Geoduck,หอยงวงช้าง,,,1890,,https://supremeseafoods.net/products/69635630
supreme seafoods,กั้งแก้วแกะเปลือก,Mantish Shrimp,กั้ง,,0.4,580,,https://supremeseafoods.net/products/69551922
supreme seafoods,หมึกหอมสด,Squid,หมึก,3-5 ตัวโล,1,490,,https://supremeseafoods.net/products/69550900
